,artistName,song_title,album,genre,releaseDate,song_price,album_price,currency,explicit,isStreamable
0,Drake,In My Feelings,Scorpion,Hip-Hop/Rap,2018-06-29T12:00:00Z,1.29,12.99,USD,cleaned,True
1,Drake,Hotline Bling,Views,Hip-Hop/Rap,2015-07-31T12:00:00Z,1.29,11.99,USD,notExplicit,True
2,Romeo Santos,Odio (feat. Drake),"Fórmula, Vol. 2 (Deluxe Edition)",Música tropical,2014-01-27T08:00:00Z,1.29,13.99,USD,notExplicit,True
3,PARTYNEXTDOOR,LOYAL (feat. Drake),PARTYMOBILE,R&B/Soul,2019-11-21T12:00:00Z,1.29,10.99,USD,notExplicit,True
4,Drake,"Hold On, We're Going Home (feat. Majid Jordan)",Nothing Was the Same (Deluxe),Hip-Hop/Rap,2013-08-07T07:00:00Z,1.29,11.99,USD,notExplicit,True
5,Drake & Michael Jackson,Don’t Matter To Me,Scorpion,Hip-Hop/Rap,2018-06-29T12:00:00Z,1.29,12.99,USD,notExplicit,True
6,Still Woozy,Drake,"If This Isn’t Nice, I Don’t Know What Is",Pop,2021-08-13T12:00:00Z,1.29,9.99,USD,notExplicit,True
7,Drake,One Dance (feat. Wizkid & Kyla),Views,Hip-Hop/Rap,2016-04-05T12:00:00Z,1.29,11.99,USD,notExplicit,True
8,Bad Bunny,MÍA (feat. Drake),X 100PRE,Urbano latino,2018-10-11T12:00:00Z,1.29,12.99,USD,notExplicit,True
9,Drake,Hotline Bling,Views,Hip-Hop/Rap,2015-07-31T12:00:00Z,1.29,11.99,USD,notExplicit,True
10,Still Woozy,Drake,"If This Isn’t Nice, I Don’t Know What Is",Pop,2021-08-13T12:00:00Z,1.29,9.99,USD,notExplicit,True
11,Drake,Finesse,Scorpion,Hip-Hop/Rap,2018-06-29T12:00:00Z,1.29,12.99,USD,notExplicit,True
12,Alicia Keys,Un-thinkable (I'm Ready) [Remix] {feat. Drake},Un-thinkable (I'm Ready) [Remix] {feat. Drake} - Single,R&B/Soul,2010-05-28T07:00:00Z,1.29,1.29,USD,notExplicit,True
13,Drake,One Dance (feat. Wizkid & Kyla),Views,Hip-Hop/Rap,2016-04-05T12:00:00Z,1.29,11.99,USD,notExplicit,True
14,Bad Bunny,MIA (feat. Drake),MIA (feat. Drake) - Single,Latin,2018-10-11T12:00:00Z,1.29,1.29,USD,notExplicit,True
15,Mary J. Blige,Mr. Wrong (feat. Drake),My Life II...The Journey Continues (Act 1) [Deluxe],R&B/Soul,2011-11-21T08:00:00Z,1.29,12.99,USD,notExplicit,True
16,Drake,Blem,More Life,Hip-Hop/Rap,2017-03-18T12:00:00Z,1.29,11.99,USD,notExplicit,True
17,Bryson Tiller,Outta Time (feat. Drake),A N N I V E R S A R Y,R&B/Soul,2020-10-02T12:00:00Z,1.29,9.99,USD,notExplicit,True
18,Drake,Signs,Signs - Single,Hip-Hop/Rap,2017-06-23T12:00:00Z,1.29,1.29,USD,notExplicit,True
19,Drake,Find Your Love,Thank Me Later,Hip-Hop/Rap,2010-05-05T07:00:00Z,1.29,9.99,USD,notExplicit,True
20,Drake,Summer Games,Scorpion,Hip-Hop/Rap,2018-06-29T12:00:00Z,1.29,12.99,USD,notExplicit,True
